model,time
123.glm,      268.38 real       245.12 user        19.39 sys
13.glm,      143.22 real       118.15 user        24.66 sys
342.glm,     5084.77 real      4501.94 user       463.34 sys
37.glm,       69.38 real        60.27 user         8.02 sys
R1-12470-1.glm,     1410.10 real      1172.16 user       208.56 sys
R1-12470-2.glm,      480.64 real       378.62 user        93.99 sys
R1-12470-3.glm,      140.31 real       124.57 user        13.59 sys
R1-12470-4.glm,      419.79 real       368.56 user        43.76 sys
R1-25000-5.glm,      495.79 real       427.78 user        57.26 sys
R2-12470-1.glm,      754.32 real       649.29 user        85.93 sys
R2-12470-2.glm,      516.51 real       435.20 user        69.38 sys
R2-12470-3.glm,      793.07 real       693.79 user        88.58 sys
R2-12470-4.glm,        0.65 real         0.17 user         0.16 sys
R2-25000-4.glm,      690.54 real       601.72 user        78.02 sys
R2-35000-5.glm,     2040.15 real      1789.89 user       205.43 sys
R3-12470-1.glm,     1500.34 real      1308.31 user       163.29 sys
R3-12470-2.glm,      357.00 real       315.35 user        34.80 sys
R3-12470-3.glm,     4333.33 real      3544.97 user       717.74 sys
R4-12470-1.glm,     1037.07 real       869.15 user       151.73 sys
R4-12470-2.glm,      295.45 real       236.77 user        53.75 sys
R4-12470-3.glm,        0.39 real         0.16 user         0.10 sys
R5-12470-1.glm,      513.33 real       446.15 user        59.43 sys
R5-12470-2.glm,      457.21 real       395.89 user        53.95 sys
R5-12470-3.glm,     7018.69 real      6028.60 user       874.76 sys
R5-12470-4.glm,      773.42 real       675.56 user        85.28 sys
R5-12470-5.glm,     1436.70 real      1251.58 user       164.28 sys
R5-25000-6.glm,      848.72 real       686.06 user       150.71 sys
R5-35000-7.glm,      458.89 real       386.14 user        66.30 sys
